Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,,Row Labels,Sum of Profit,,,,,,,
01-01-2019,06-01-2019,Furniture,Furnishings,48.896,4,0.2,8.5568,,0.444,-1.11,,,,,,,
01-01-2019,05-01-2019,Furniture,Furnishings,474.43,11,0,199.2606,,0.556,-0.9452,,,,,,,
01-01-2019,02-01-2019,Office Supplies,Binders,3.6,2,0,1.728,,0.99,0.4356,,,,,,,
01-01-2019,05-01-2019,Office Supplies,Storage,454.56,5,0.2,-107.958,,1.08,-0.792,,,,,,,
01-01-2019,05-01-2019,Furniture,Furnishings,141.42,5,0.6,-187.3815,,1.188,-1.9602,,,,,,,
01-01-2019,05-01-2019,Furniture,Chairs,310.744,4,0.3,-26.6352,,1.188,-1.98,,,,,,,
01-01-2019,05-01-2019,Office Supplies,Art,12.736,4,0.2,2.2288,,1.248,-3.8688,,,,,,,
01-01-2019,05-01-2019,Office Supplies,Binders,6.47,5,0.8,-9.705,,1.392,-3.7584,,,,,,,
01-01-2019,05-01-2019,Office Supplies,Binders,13.748,14,0.8,-22.6842,,1.408,-2.3232,,,,,,,
01-01-2019,05-01-2019,Office Supplies,Appliances,15.224,2,0.8,-38.8212,,1.44,0.504,,,,,,,
02-01-2019,04-01-2019,Technology,Machines,695.7,2,0.5,-27.828,,1.556,-4.2012,,,,,,,
02-01-2019,04-01-2019,Office Supplies,Binders,15.66,5,0.7,-12.528,,1.584,0.4752,,,,,,,
02-01-2019,04-01-2019,Office Supplies,Binders,28.854,6,0.7,-21.1596,,1.592,-2.6268,,,,,,,
02-01-2019,04-01-2019,Office Supplies,Art,31.744,2,0.2,3.968,,1.624,-4.466,,,,,,,
02-01-2019,04-01-2019,Office Supplies,Appliances,5.432,2,0.8,-13.58,,1.64,0.738,,,,,,,
02-01-2019,04-01-2019,Furniture,Tables,913.43,5,0.3,-169.637,,1.641,-1.3128,,,,,,,
02-01-2019,04-01-2019,Office Supplies,Storage,372.144,3,0.2,27.9108,,1.68,-2.688,,Quantity,,,,,
02-01-2019,04-01-2019,Technology,Accessories,16.59,1,0,5.8065,,1.744,-0.3488,,,,,,,
03-01-2019,08-01-2019,Office Supplies,Paper,38.88,6,0,18.6624,,1.752,0.1533,,Mean,3.766908213,,,,
03-01-2019,07-01-2019,Office Supplies,Binders,2022.272,8,0.2,682.5168,,1.788,-3.0396,,Standard Error,0.038606029,,,,
03-01-2019,07-01-2019,Office Supplies,Art,9.12,3,0,3.1008,,1.81,0.6516,,Median,3,,,,
06-01-2019,13-01-2019,Office Supplies,Binders,33.74,7,0,15.5204,,1.824,0.6156,,Mode,2,,,,
07-01-2019,10-01-2019,Technology,Machines,3059.982,2,0.1,679.996,,1.824,-1.3984,,Standard Deviation,2.221776109,,,,
07-01-2019,13-01-2019,Office Supplies,Binders,2.808,3,0.7,-1.9656,,1.892,-0.9933,,Sample Variance,4.936289079,,,,
07-01-2019,09-01-2019,Office Supplies,Storage,153.78,11,0,44.5962,,1.908,-1.5264,,Kurtosis,1.793741495,,,,
