Order Date,Ship Date,Category,Sub-Category,Sales,Quantity,Discount,Profit,,Row Labels,Sum of Profit,,,,,,,
08-11-2018,11-11-2018,Furniture,Bookcases,261.96,2,0,41.9136,,0.836,-1.3376,,,,,,,
08-11-2018,11-11-2018,Furniture,Chairs,731.94,3,0,219.582,,1.192,-2.0264,,,,,,,
12-06-2018,16-06-2018,Office Supplies,Labels,14.62,2,0,6.8714,,1.272,-2.1624,,,,,,,
05-12-2018,10-12-2018,Office Supplies,Binders,407.976,3,0.2,132.5922,,1.344,-2.1504,,,,,,,
09-12-2018,13-12-2018,Office Supplies,Art,19.46,7,0,5.0596,,1.344,0.504,,,,,,,
09-12-2018,13-12-2018,Office Supplies,Appliances,60.34,7,0,15.6884,,1.408,0.1584,,,,,,,
16-01-2018,20-01-2018,Office Supplies,Binders,11.648,2,0.2,4.2224,,1.504,0.1692,,,,,,,
16-01-2018,20-01-2018,Technology,Accessories,90.57,3,0,11.7741,,1.524,-2.667,,,,,,,
08-12-2018,10-12-2018,Technology,Phones,1097.544,7,0.2,123.4737,,1.68,0.84,,,,,,,
08-12-2018,10-12-2018,Furniture,Furnishings,190.92,5,0.6,-147.963,,1.728,-2.6784,,,,,,,
17-07-2018,22-07-2018,Office Supplies,Storage,77.88,2,0,3.894,,1.728,-2.7648,,,,,,,
11-03-2018,13-03-2018,Technology,Accessories,45.98,2,0,19.7714,,1.728,0.6048,,,,,,,
11-03-2018,13-03-2018,Office Supplies,Binders,17.46,2,0,8.2062,,1.788,-3.0396,,,,,,,
20-06-2018,25-06-2018,Technology,Accessories,45,3,0,4.95,,1.8,-2.88,,,,,,,
20-06-2018,25-06-2018,Technology,Phones,21.8,2,0,6.104,,1.81,0.6516,,Quantity,,,,,
11-12-2018,17-12-2018,Office Supplies,Fasteners,15.26,7,0,6.2566,,1.872,-1.4352,,,,,,,
11-12-2018,17-12-2018,Technology,Phones,1029.95,5,0,298.6855,,1.908,-3.2436,,Mean,3.802473908,,,,
17-06-2018,18-06-2018,Office Supplies,Storage,208.56,6,0,52.14,,1.941,-1.294,,Standard Error,0.043291514,,,,
17-06-2018,18-06-2018,Office Supplies,Paper,32.4,5,0,15.552,,1.964,-6.4812,,Median,3,,,,
17-06-2018,18-06-2018,Furniture,Chairs,319.41,5,0.1,7.098,,1.98,0.891,,Mode,3,,,,
17-06-2018,18-06-2018,Office Supplies,Paper,14.56,2,0,6.9888,,2.043,-1.4982,,Standard Deviation,2.201917199,,,,
17-06-2018,18-06-2018,Technology,Accessories,30,2,0,3.3,,2.068,-3.4122,,Sample Variance,4.848439353,,,,
17-06-2018,18-06-2018,Office Supplies,Binders,48.48,4,0.2,16.362,,2.088,0.6786,,Kurtosis,1.708221817,,,,
17-06-2018,18-06-2018,Office Supplies,Art,1.68,1,0,0.84,,2.182,-3.6003,,Skewness,1.208518647,,6816.264525,Average profit per month,
04-06-2018,06-06-2018,Office Supplies,Paper,75.88,2,0,35.6636,,2.214,-2.952,,Range,13,,224.0963679,Average profit per day,
18-09-2018,23-09-2018,Office Supplies,Binders,4.616,1,0.2,1.731,,2.296,-3.9032,,Minimum,1,,50767.13317,Average sales per month,
12-06-2018,15-06-2018,Office Supplies,Appliances,208.16,1,0,56.2032,,2.304,0.7776,,Maximum,14,,1669.056433,Average sales per day,
12-06-2018,15-06-2018,Office Supplies,Binders,16.74,3,0,8.0352,,2.308,-3.462,,Sum,9837,,,,
05-04-2018,10-04-2018,Office Supplies,Storage,158.368,7,0.2,13.8572,,2.328,-1.5132,,Count,2587,,,,
17-09-2018,22-09-2018,Office Supplies,Art,20.1,3,0,6.633,,2.334,-6.3018,,,,,,,
17-09-2018,22-09-2018,Technology,Phones,73.584,2,0.2,8.2782,,2.376,-1.9008,,,,,,,
17-09-2018,22-09-2018,Office Supplies,Paper,6.48,1,0,3.1104,,2.496,0.9048,,Sales,,,Profit,,
06-09-2018,11-09-2018,Office Supplies,Appliances,77.88,6,0,22.5852,,2.61,1.2006,,,,,,,
29-08-2018,02-09-2018,Office Supplies,Paper,64.624,7,0.2,22.6184,,2.628,-1.9272,,Mean,235.4872818,,Mean,31.61777128,
29-08-2018,02-09-2018,Technology,Accessories,95.976,3,0.2,-10.7973,,2.632,0.8225,,Standard Error,13.13770926,,Standard Error,5.520381951,
29-08-2018,02-09-2018,Office Supplies,Binders,1.788,3,0.8,-3.0396,,2.672,0.3674,,Median,52.68,,Median,8.7372,
01-12-2018,04-12-2018,Office Supplies,Paper,23.92,4,0,11.7208,,2.694,-2.245,,Mode,12.96,,Mode,0,
03-11-2018,10-11-2018,Office Supplies,Art,75.96,2,0,22.788,,2.742,-2.0108,,Standard Deviation,668.2175241,,Standard Deviation,280.7807577,
03-11-2018,10-11-2018,Office Supplies,Binders,27.24,6,0,13.3476,,2.808,-1.9656,,Sample Variance,446514.6596,,Sample Variance,78837.83389,
12-06-2018,15-06-2018,Furniture,Furnishings,47.04,3,0,18.3456,,2.88,0.8064,,Kurtosis,226.5507603,,Kurtosis,472.4267043,
12-06-2018,15-06-2018,Office Supplies,Binders,30.84,4,0,13.878,,2.89,-4.7685,,Skewness,11.92852814,,Skewness,8.480913081,
12-06-2018,15-06-2018,Office Supplies,Storage,226.56,6,0,63.4368,,2.907,-2.0349,,Range,17499.114,,Range,14999.954,
12-06-2018,15-06-2018,Office Supplies,Envelopes,115.02,9,0,51.759,,2.912,0.91,,Minimum,0.836,,Minimum,-6599.978,
12-06-2018,15-06-2018,Technology,Phones,68.04,7,0,19.7316,,2.946,-2.0622,,Maximum,17499.95,,Maximum,8399.976,
06-11-2018,10-11-2018,Furniture,Chairs,81.424,2,0.2,-9.1602,,2.952,-2.1648,,Sum,609205.598,,Sum,81795.1743,
06-11-2018,10-11-2018,Furniture,Furnishings,238.56,3,0,26.2416,,3,1.05,,Count,2587,,Count,2587,
13-10-2018,19-10-2018,Office Supplies,Paper,20.04,3,0,9.6192,,3.04,1.0336,,,,,,,
13-10-2018,19-10-2018,Office Supplies,Paper,35.44,1,0,16.6568,,3.048,1.0668,,,,,,,
13-10-2018,19-10-2018,Office Supplies,Art,11.52,4,0,3.456,,3.108,-2.1756,,,,,,,
13-10-2018,19-10-2018,Office Supplies,Fasteners,4.02,2,0,1.9698,,3.136,-4.704,,,,,,,
13-10-2018,19-10-2018,Office Supplies,Binders,76.176,3,0.2,26.6616,,3.15,3.024,,,,,,,
13-10-2018,19-10-2018,Office Supplies,Supplies,65.88,6,0,18.4464,,3.168,-4.752,,,,,,,
13-10-2018,19-10-2018,Furniture,Furnishings,43.12,14,0,20.6976,,3.204,-2.4564,,,,,,,
05-09-2018,07-09-2018,Furniture,Furnishings,82.8,2,0.2,10.35,,3.208,-5.2932,,,,,,,
05-12-2018,09-12-2018,Technology,Phones,384.45,11,0,103.8015,,3.28,1.476,,,,,,,
05-12-2018,09-12-2018,Technology,Phones,149.97,3,0,5.9988,,3.282,-2.6256,,,,,,,
05-12-2018,09-12-2018,Furniture,Chairs,1951.84,8,0,585.552,,3.318,-2.6544,,,,,,,
05-12-2018,09-12-2018,Office Supplies,Binders,171.55,5,0,80.6285,,3.486,-2.7888,,,,,,,
13-03-2018,16-03-2018,Office Supplies,Appliances,157.92,5,0.2,17.766,,3.52,1.0208,,,,,,,
13-03-2018,16-03-2018,Technology,Phones,203.184,2,0.2,15.2388,,3.528,1.1466,,,,,,,
20-11-2018,24-11-2018,Office Supplies,Labels,14.62,2,0,6.8714,,3.536,0.3094,,,,,,,
20-11-2018,24-11-2018,Technology,Phones,944.93,7,0,236.2325,,3.564,-6.237,,,,,,,
11-05-2018,12-05-2018,Office Supplies,Paper,5.98,1,0,2.691,,3.592,1.1225,,,,,,,
16-11-2018,20-11-2018,Office Supplies,Envelopes,28.4,5,0,13.348,,3.62,1.1946,,,,,,,
07-11-2018,11-11-2018,Office Supplies,Binders,27.68,2,0.2,9.688,,3.64,3.9858,,,,,,,
28-11-2018,02-12-2018,Office Supplies,Binders,7.16,2,0,3.4368,,3.68,1.8032,,,,,,,
